name,title,default_crs,bbox_raw
datafinder.stats.govt.nz:layer-104246,Constituency 2020 Clipped (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>166.26203258220306 -47.2230467564741</ns0:LowerCorner><ns0:UpperCorner>184.09427442796422 -34.129634647015216</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104247,Constituency 2020 (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.97364377550252 -47.62012357870287</ns0:LowerCorner><ns0:UpperCorner>184.6209528860961 -33.95849709963594</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104248,Māori Constituency 2020 Clipped (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>166.26203258220306 -47.2230467564741</ns0:LowerCorner><ns0:UpperCorner>184.09427442796422 -34.129634647015216</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104251,Māori Constituency 2020 (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.97364377550252 -47.62012357870287</ns0:LowerCorner><ns0:UpperCorner>184.6209528860961 -33.95849709963594</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104253,Regional Council 2020 Clipped (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>166.26203258220306 -47.2230467564741</ns0:LowerCorner><ns0:UpperCorner>184.09427442796422 -34.129634647015216</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104254,Regional Council 2020 (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.97364377550252 -47.62012357870287</ns0:LowerCorner><ns0:UpperCorner>184.6209528860961 -33.95849709963594</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104255,Territorial Authority Local Board 2020 Clipped (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>166.26203258220306 -47.2230467564741</ns0:LowerCorner><ns0:UpperCorner>184.09427442796422 -34.129634647015216</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104256,Territorial Authority Local Board 2020 (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.97364377550252 -47.62012357870287</ns0:LowerCorner><ns0:UpperCorner>184.6209528860961 -33.95849709963594</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104257,Subdivision 2020 Clipped (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>166.26203258220306 -47.2230467564741</ns0:LowerCorner><ns0:UpperCorner>184.09427442796422 -34.129634647015216</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104259,Subdivision 2020 (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.97364377550252 -47.62012357870287</ns0:LowerCorner><ns0:UpperCorner>184.6209528860961 -33.95849709963594</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104260,Community Board 2020 Clipped (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>166.26203258220306 -47.2230467564741</ns0:LowerCorner><ns0:UpperCorner>184.09427442796422 -34.129634647015216</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104261,Community Board 2020 (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.97364377550252 -47.62012357870287</ns0:LowerCorner><ns0:UpperCorner>184.6209528860961 -33.95849709963594</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104262,Ward 2020 Clipped (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>166.26203258220306 -47.2230467564741</ns0:LowerCorner><ns0:UpperCorner>184.09427442796422 -34.129634647015216</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104263,Ward 2020  (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.97364377550252 -47.62012357870287</ns0:LowerCorner><ns0:UpperCorner>184.6209528860961 -33.95849709963594</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104264,Māori Ward 2020 Clipped (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>166.26203258220306 -47.2230467564741</ns0:LowerCorner><ns0:UpperCorner>184.09427442796422 -34.129634647015216</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104265,Māori Ward 2020 (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.97364377550252 -47.62012357870287</ns0:LowerCorner><ns0:UpperCorner>184.6209528860961 -33.95849709963594</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104266,Territorial Authority 2020 Clipped (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>166.26203258220306 -47.2230467564741</ns0:LowerCorner><ns0:UpperCorner>184.09427442796422 -34.129634647015216</ns0:UpperCorner></ns0:WGS84BoundingBox>"
