SA32023_V1_00_usual_residence_address,SA32023_V1_00_NAME_usual_residence_address,SA32023_V1_00_NAME_ASCII_usual_residence_address,SA32023_V1_00_workplace_address,SA32023_V1_00_NAME_workplace_address,SA32023_V1_00_NAME_ASCII_workplace_address,_2018_Work_at_home,_2018_Drive_a_private_car_truck_or_van,_2018_Drive_a_company_car_truck_or_van,_2018_Passenger_in_a_car_truck_van_or_company_bus,_2018_Public_bus,_2018_Train,_2018_Bicycle,_2018_Walk_or_jog,_2018_Ferry,_2018_Other,_2018_Total_stated,_2023_Work_at_home,_2023_Drive_a_private_car_truck_or_van,_2023_Drive_a_company_car_truck_or_van,_2023_Passenger_in_a_car_truck_van_or_company_bus,_2023_Public_bus,_2023_Train,_2023_Bicycle,_2023_Walk_or_jog,_2023_Ferry,_2023_Other,_2023_Total_stated
50390,Rodney North,Rodney North,50750,North Harbour/Rosedale,North Harbour/Rosedale,-999,69,33,-999,-999,-999,-999,-999,-999,-999,105,-999,39,18,-999,-999,-999,-999,-999,-999,-999,60
50390,Rodney North,Rodney North,50840,Glenfield,Glenfield,-999,24,9,-999,-999,-999,-999,-999,-999,-999,33,-999,12,12,-999,-999,-999,-999,-999,-999,-999,27
50390,Rodney North,Rodney North,50960,Henderson,Henderson,-999,-999,12,-999,-999,-999,-999,-999,-999,-999,18,-999,12,6,-999,-999,-999,-999,-999,-999,-999,18
50390,Rodney North,Rodney North,51010,Takapuna,Takapuna,-999,42,9,-999,-999,-999,-999,-999,-999,-999,48,-999,24,6,-999,-999,-999,-999,-999,-999,-999,33
50390,Rodney North,Rodney North,51040,Northcote (Auckland),Northcote (Auckland),-999,6,6,-999,-999,-999,-999,-999,-999,-999,15,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9
50390,Rodney North,Rodney North,51050,Birkenhead,Birkenhead,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9
50390,Rodney North,Rodney North,51130,Stanley Point,Stanley Point,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
50390,Rodney North,Rodney North,51150,Auckland City Centre,Auckland City Centre,-999,105,9,12,12,-999,-999,-999,-999,-999,138,-999,81,12,6,15,-999,-999,-999,-999,-999,117
50390,Rodney North,Rodney North,51170,Ponsonby,Ponsonby,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
50390,Rodney North,Rodney North,51200,Parnell,Parnell,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,15
50390,Rodney North,Rodney North,51230,Grafton,Grafton,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,18,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,12
50390,Rodney North,Rodney North,51300,Avondale (Auckland),Avondale (Auckland),-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12
50390,Rodney North,Rodney North,51380,Grey Lynn,Grey Lynn,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9
50390,Rodney North,Rodney North,51390,Eden Terrace,Eden Terrace,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
50390,Rodney North,Rodney North,51420,Newmarket,Newmarket,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9
50390,Rodney North,Rodney North,51430,Mount Eden,Mount Eden,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
50390,Rodney North,Rodney North,51460,Epsom,Epsom,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
50390,Rodney North,Rodney North,51570,Onehunga,Onehunga,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
50390,Rodney North,Rodney North,51700,Ellerslie,Ellerslie,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12
50390,Rodney North,Rodney North,51710,Mount Wellington,Mount Wellington,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,9,6,-999,-999,-999,-999,-999,-999,-999,15
50390,Rodney North,Rodney North,51750,Penrose,Penrose,-999,12,9,-999,-999,-999,-999,-999,-999,-999,24,-999,12,6,-999,-999,-999,-999,-999,-999,-999,15
50390,Rodney North,Rodney North,51820,East Tamaki,East Tamaki,-999,6,6,-999,-999,-999,-999,-999,-999,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
50390,Rodney North,Rodney North,51830,Ōtāhuhu,Otahuhu,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
50390,Rodney North,Rodney North,51960,Māngere,Mangere,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,18,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,18
50400,Inlets Auckland,Inlets Auckland,50400,Inlets Auckland,Inlets Auckland,12,-999,-999,-999,-999,-999,-999,-999,-999,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
50400,Inlets Auckland,Inlets Auckland,51130,Stanley Point,Stanley Point,-999,-999,-999,-999,-999,-999,-999,12,-999,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
50410,Rodney East,Rodney East,50310,Bream Bay,Bream Bay,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
50410,Rodney East,Rodney East,50340,Kaipara District South,Kaipara District South,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,15,9,-999,-999,-999,-999,-999,-999,-999,24
50410,Rodney East,Rodney East,50350,Mangawhai,Mangawhai,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,12,12,-999,-999,-999,-999,-999,-999,-999,27
50410,Rodney East,Rodney East,50390,Rodney North,Rodney North,-999,183,36,15,-999,-999,-999,-999,-999,-999,237,-999,210,33,12,-999,-999,-999,-999,-999,-999,258
50410,Rodney East,Rodney East,50410,Rodney East,Rodney East,975,162,63,24,-999,-999,-999,15,-999,24,1266,1470,162,72,18,-999,-999,-999,9,-999,18,1752
50410,Rodney East,Rodney East,50420,Warkworth,Warkworth,-999,327,48,27,-999,-999,-999,9,-999,-999,420,-999,408,96,36,-999,-999,-999,-999,-999,-999,552
50410,Rodney East,Rodney East,50430,Mahurangi Peninsula,Mahurangi Peninsula,-999,33,9,-999,-999,-999,-999,-999,-999,-999,45,-999,36,12,6,-999,-999,-999,-999,-999,-999,54
50410,Rodney East,Rodney East,50440,Hibiscus and Bays Rural,Hibiscus and Bays Rural,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
50410,Rodney East,Rodney East,50460,Rodney West,Rodney West,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,12
50410,Rodney East,Rodney East,50470,Kaukapakapa-Waitoki,Kaukapakapa-Waitoki,-999,30,6,-999,-999,-999,-999,-999,-999,-999,36,-999,39,-999,-999,-999,-999,-999,-999,-999,-999,48
50410,Rodney East,Rodney East,50480,Orewa,Orewa,-999,123,12,-999,-999,-999,-999,-999,-999,-999,141,-999,129,15,12,-999,-999,-999,-999,-999,-999,156
50410,Rodney East,Rodney East,50500,Helensville,Helensville,-999,21,-999,-999,-999,-999,-999,-999,-999,-999,24,-999,24,-999,-999,-999,-999,-999,-999,-999,-999,24
50410,Rodney East,Rodney East,50510,Coatesville-Riverhead,Coatesville-Riverhead,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
50410,Rodney East,Rodney East,50520,Silverdale (Auckland),Silverdale (Auckland),-999,159,48,9,-999,-999,-999,-999,-999,-999,222,-999,186,60,21,-999,-999,-999,-999,-999,-999,270
50410,Rodney East,Rodney East,50530,Dairy Flat,Dairy Flat,-999,18,6,-999,-999,-999,-999,-999,-999,-999,27,-999,27,18,-999,-999,-999,-999,-999,-999,-999,45
50410,Rodney East,Rodney East,50540,Red Beach,Red Beach,-999,24,6,-999,-999,-999,-999,-999,-999,-999,30,-999,36,-999,-999,-999,-999,-999,-999,-999,-999,39
50410,Rodney East,Rodney East,50550,Gulf Harbour,Gulf Harbour,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9
50410,Rodney East,Rodney East,50570,Stanmore Bay,Stanmore Bay,-999,36,6,-999,-999,-999,-999,-999,-999,-999,42,-999,36,6,-999,-999,-999,-999,-999,-999,-999,42
50410,Rodney East,Rodney East,50580,Manly,Manly,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9
50410,Rodney East,Rodney East,50590,Wade Heads-Arkles Bay,Wade Heads-Arkles Bay,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
50410,Rodney East,Rodney East,50610,Kumeū,Kumeu,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15,-999,15,9,-999,-999,-999,-999,-999,-999,-999,27
50410,Rodney East,Rodney East,50620,Albany,Albany,-999,78,12,-999,-999,-999,-999,-999,-999,-999,99,-999,63,12,-999,-999,-999,-999,-999,-999,-999,78
50410,Rodney East,Rodney East,50630,Pāremoremo,Paremoremo,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,12
50410,Rodney East,Rodney East,50660,Long Bay,Long Bay,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
50410,Rodney East,Rodney East,50670,Torbay-Waiake,Torbay-Waiake,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12
50410,Rodney East,Rodney East,50680,Fairview Heights,Fairview Heights,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
50410,Rodney East,Rodney East,50690,Northcross,Northcross,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
50410,Rodney East,Rodney East,50700,Oteha,Oteha,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6
50410,Rodney East,Rodney East,50710,Browns Bay,Browns Bay,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,21,-999,-999,-999,-999,-999,-999,-999,-999,21
50410,Rodney East,Rodney East,50730,Pinehill,Pinehill,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
50410,Rodney East,Rodney East,50750,North Harbour/Rosedale,North Harbour/Rosedale,-999,171,66,6,-999,-999,-999,-999,-999,-999,252,-999,132,63,-999,-999,-999,-999,-999,-999,-999,204
50410,Rodney East,Rodney East,50810,Forrest Hill,Forrest Hill,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6
50410,Rodney East,Rodney East,50840,Glenfield,Glenfield,-999,48,27,-999,-999,-999,-999,-999,-999,-999,78,-999,54,33,-999,-999,-999,-999,-999,-999,-999,84
50410,Rodney East,Rodney East,50890,Whenuapai,Whenuapai,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9
